ZIP_Code,Restaurant_Name,Rating,Review_Count,Price_Level,Latitude,Longitude,Category,Neighborhood,Address
90069,Queen Violet WeHo,4.3,308,2.0,34.089089,-118.377735,Food,West Hollywood,"8543 Santa Monica Blvd Suite 5, West Hollywood, CA 90069, USA"
90069,Saddle Ranch Chop House,4.3,3599,2.0,34.095659,-118.372355,Steak House,West Hollywood,"8371 W Sunset Blvd, West Hollywood, CA 90069, USA"
90069,Hugo's West Hollywood,4.4,1287,2.0,34.090839,-118.373085,Food,West Hollywood,"8401 Santa Monica Blvd, West Hollywood, CA 90069, USA"
90069,SUR Restaurant and Lounge,4.2,3606,3.0,34.081229,-118.385309,Bar,West Hollywood,"606-614 N Robertson Blvd, West Hollywood, CA 90069, USA"
90046,Ysabel,4.2,1426,3.0,34.08859,-118.36178,Bar,West Hollywood,"945 N Fairfax Ave, West Hollywood, CA 90046, USA"
90046,Jones,4.5,871,2.0,34.090882,-118.346423,Bar And Grill,West Hollywood,"7205 Santa Monica Blvd, West Hollywood, CA 90046, USA"
90069,Nobu Los Angeles,4.3,1235,4.0,34.087152,-118.376604,Bar,West Hollywood,"903 N La Cienega Blvd, Los Angeles, CA 90069, USA"
90069,Mels Drive-In,4.4,2881,2.0,34.092953,-118.378964,Diner,West Hollywood,"8585 W Sunset Blvd, West Hollywood, CA 90069, USA"
90291,The Butcher's Daughter,4.4,2746,2.0,33.991658,-118.469208,Juice Shop,Venice,"1205 Abbot Kinney Blvd, Venice, CA 90291, USA"
90291,The Waterfront Venice,4.3,1557,2.0,33.99508,-118.480767,Food,Venice,"205 Ocean Front Walk, Venice, CA 90291, USA"
90291,Belles Beach House,4.3,1143,2.0,33.986987,-118.473086,Food,Venice,"24 Windward Ave, Los Angeles, CA 90291, USA"
90291,Gjelina,4.2,1624,,33.990497,-118.464965,Food,Venice,"1429 Abbot Kinney Blvd, Venice, CA 90291, USA"
90291,Ospi Venice,4.4,850,2.0,33.985111,-118.470412,Food,Venice,"2025 Pacific Ave, Venice, CA 90291, USA"
90291,Fig Tree,4.3,2139,2.0,33.993398,-118.479237,Food,Venice,"431, Ocean Front Walk, Venice, CA 90291, USA"
90291,Barrique Venice,4.6,689,3.0,33.993164,-118.474684,Wine Bar,Venice,"796 Main St, Venice, CA 90291, USA"
90291,Kassi Rooftop Venice Beach,4.1,54,,33.986959,-118.4725,Bar,Venice,"1697 Pacific Ave, Venice, CA 90291, USA"
90291,Felix Trattoria,4.5,1395,4.0,33.992243,-118.471866,Food,Venice,"1023 Abbot Kinney Blvd, Venice, CA 90291, USA"
90292,Nalu Vida Venice Beach,4.4,623,2.0,33.97929,-118.46686,Bar,Venice,"1 Washington Blvd, Venice, CA 90292, USA"
90292,Hinano Cafe,4.6,1666,1.0,33.979491,-118.46657,Bar And Grill,Venice,"15 Washington Blvd, Venice, CA 90292, USA"
90292,The Venice Whaler,4.3,3143,2.0,33.978985,-118.46659,Bar And Grill,Venice,"10 Washington Blvd, Venice, CA 90292, USA"
90291,Casablanca,4.5,1403,2.0,34.00165,-118.468005,Food,Venice,"220 Lincoln Blvd, Los Angeles, CA 90291, USA"
90291,Chulita,4.5,714,2.0,33.99886,-118.47311,Night Club,Venice,"533 Rose Ave, Venice, CA 90291, USA"
90291,Gjusta,4.4,3283,2.0,33.995208,-118.474482,Bakery,Venice,"320 Sunset Ave, Venice, CA 90291, USA"
90291,The Venice Beach Bar & Kitchen,4.4,1190,2.0,33.994115,-118.479882,Bar And Grill,Venice,"323 Ocean Front Walk, Venice, CA 90291, USA"
90291,Great White,4.5,2346,1.0,33.987732,-118.471793,Cafe,Venice,"1604 Pacific Ave, Venice, CA 90291, USA"
90291,Paloma Venice,4.2,223,,33.98903,-118.461863,Food,Venice,"600 S Venice Blvd, Venice, CA 90291, USA"
90291,Superba Food + Bread Venice,4.5,1590,3.0,33.996217,-118.456349,Coffee Shop,Venice,"1900 Lincoln Blvd, Venice, CA 90291, USA"
90291,Reunion Venice Beach,4.8,14,,33.988223,-118.473095,Food,Venice,"73 Market St, Venice, CA 90291, USA"
90017,Bottega Louie,4.5,7392,3.0,34.047052,-118.256544,Chocolate Shop,Downtown LA,"700 S Grand Ave, Los Angeles, CA 90017, USA"
90017,JOEY DTLA,4.7,3193,2.0,34.048017,-118.258051,Food,Downtown LA,"700 W 7th St Ste S430, Los Angeles, CA 90017, USA"
90013,Perch,4.4,7126,3.0,34.048996,-118.251411,Bar,Downtown LA,"448 S Hill St, Los Angeles, CA 90013, USA"
90017,Joyce,4.4,287,2.0,34.046269,-118.257165,Bar,Downtown LA,"770 S Grand Ave A, Los Angeles, CA 90017, USA"
90071,Water Grill,4.5,2119,3.0,34.04904,-118.254707,Food,Downtown LA,"544 S Grand Ave, Los Angeles, CA 90071, USA"
90015,Yard House,4.4,6782,2.0,34.04512,-118.2657,Bar And Grill,Downtown LA,"800 W Olympic Blvd A-115, Los Angeles, CA 90015, USA"
90071,71Above,4.5,2635,4.0,34.051029,-118.254417,Food,Downtown LA,"633 W 5th St 71st floor, Los Angeles, CA 90071, USA"
